datetime,demand,total_incl_noncombustion
2020-12-07 19:00:00,-492.8333333333326,41552.99999999999
2020-12-07 20:00:00,-634.6349999999993,41783.62499999999
2020-12-07 21:00:00,-898.3383333333331,40908.375
2020-12-08 08:00:00,-3049.3516666666656,41430.375
2020-12-08 09:00:00,-8574.686666666665,45738.0
2020-12-08 10:00:00,-12410.011666666664,46218.375
2020-12-08 11:00:00,-8469.769999999997,44835.75
2020-12-08 12:00:00,-8352.649999999998,43827.75
2020-12-08 13:00:00,-6575.55833333333,42132.37500000001
2020-12-08 14:00:00,-7404.0049999999965,42267.37500000001
2020-12-08 15:00:00,-8415.221666666665,40469.625
2020-12-08 16:00:00,-1996.7249999999988,37074.375
2020-12-08 18:00:00,-912.3966666666661,39489.74999999999
2020-12-08 19:00:00,-1001.5533333333324,40891.5
2020-12-08 20:00:00,-948.8349999999991,40442.625
2020-12-08 21:00:00,-1417.1533333333332,38457.0
2020-12-09 08:00:00,-3395.453333333332,40459.5
2020-12-09 09:00:00,-11927.664999999997,45678.375
2020-12-09 10:00:00,-15275.836666666664,47526.75
2020-12-09 11:00:00,-11962.759999999995,46921.5
2020-12-09 12:00:00,-11475.501666666663,46153.12500000001
2020-12-09 13:00:00,-11291.883333333331,46221.75000000001
2020-12-09 14:00:00,-11042.14333333333,46374.75
2020-12-09 15:00:00,-10457.313333333332,43609.5
2020-12-09 16:00:00,-3245.4116666666655,39868.875
2020-12-09 20:00:00,-1446.9716666666664,41821.875
2020-12-09 21:00:00,-1577.7749999999996,40600.12499999999
2020-12-10 00:00:00,-1792.2849999999994,32700.374999999996
2020-12-10 03:00:00,-1732.6566666666668,29238.75
2020-12-10 08:00:00,-4291.401666666665,41896.125
2020-12-10 09:00:00,-8054.7183333333305,44836.875
2020-12-10 10:00:00,-10659.879999999997,45382.5
2020-12-10 11:00:00,-10408.194999999996,47237.625
2020-12-10 12:00:00,-10281.473333333332,46273.5
2020-12-10 13:00:00,-12187.589999999997,46919.25
2020-12-10 14:00:00,-11433.491666666661,46573.87500000001
2020-12-10 15:00:00,-12560.723333333332,45587.25
2020-12-10 16:00:00,-3367.584999999998,40332.375
2020-12-10 17:00:00,-1068.2099999999987,42671.25
2020-12-10 20:00:00,-1532.763333333332,43017.75000000001
2020-12-10 22:00:00,-1548.199999999999,39231.0
2020-12-11 06:00:00,-1331.726666666666,33732.0
2020-12-11 07:00:00,-1557.809999999999,37505.25
2020-12-11 08:00:00,-3115.1999999999985,42799.5
2020-12-11 09:00:00,-7327.616666666663,46163.25
2020-12-11 10:00:00,-11459.474999999999,47894.62499999999
2020-12-11 11:00:00,-7089.649999999997,46869.75000000001
2020-12-11 12:00:00,-7556.298333333331,45984.375
2020-12-11 13:00:00,-7807.311666666664,46159.875
2020-12-11 14:00:00,-7027.829999999997,45560.25
2020-12-11 15:00:00,-8580.92333333333,43994.24999999999
2020-12-11 16:00:00,-1795.0166666666655,39971.25
2020-12-11 19:00:00,-465.32499999999936,42582.375
2020-12-11 20:00:00,-506.88833333333287,41689.12499999999
2020-12-11 21:00:00,-649.2133333333327,40873.49999999999
2020-12-11 22:00:00,-759.3733333333325,38245.5
2020-12-12 07:00:00,-547.7283333333321,36626.625
2020-12-12 08:00:00,-721.7399999999989,38047.5
2020-12-12 09:00:00,-5131.391666666665,42739.875
2020-12-12 10:00:00,-8166.118333333332,43914.375
2020-12-12 11:00:00,-6116.539999999996,44302.50000000001
2020-12-12 12:00:00,-7040.339999999997,44005.50000000001
2020-12-12 13:00:00,-7832.46333333333,44462.25
2020-12-12 14:00:00,-7145.634999999996,43754.62500000001
2020-12-12 15:00:00,-8468.544999999998,41556.375
2020-12-12 16:00:00,-2681.7649999999985,37528.875
2020-12-12 19:00:00,-492.78999999999905,39791.24999999999
2020-12-12 20:00:00,-511.579999999999,38996.99999999999
2020-12-12 21:00:00,-677.2566666666658,37959.74999999999
2020-12-12 22:00:00,-630.8083333333325,37058.62499999999
2020-12-13 08:00:00,-4258.548333333331,40676.625
2020-12-13 09:00:00,-6384.941666666664,41725.12499999999
2020-12-13 10:00:00,-8012.799999999997,41935.5
2020-12-13 11:00:00,-6472.60333333333,43454.25
2020-12-13 12:00:00,-7186.098333333331,44022.37500000001
2020-12-13 13:00:00,-4920.323333333331,41924.25
2020-12-13 14:00:00,-5041.593333333331,40819.50000000001
2020-12-13 15:00:00,-5462.439999999998,37831.5
2020-12-13 16:00:00,-928.3399999999981,36391.50000000001
2020-12-13 18:00:00,-1006.329999999999,40533.74999999999
2020-12-13 19:00:00,-1143.0333333333324,42088.5
2020-12-13 20:00:00,-1203.0616666666656,41770.125
2020-12-13 21:00:00,-1512.869999999999,41420.25
2020-12-14 08:00:00,-3976.788333333331,43637.625
2020-12-14 09:00:00,-9784.419999999998,47736.0
2020-12-14 10:00:00,-14045.444999999998,49251.37499999999
2020-12-14 11:00:00,-10603.784999999996,48931.875
2020-12-14 12:00:00,-11361.969999999998,48926.25
2020-12-14 13:00:00,-12182.754999999994,48767.625
2020-12-14 14:00:00,-10986.961666666662,47651.62500000001
2020-12-14 15:00:00,-13500.86833333333,46400.625
2020-12-14 16:00:00,-3928.263333333332,40925.25000000001
2020-12-14 17:00:00,-891.9366666666651,42275.25
2020-12-14 20:00:00,-1338.354999999999,42076.125
2020-12-14 21:00:00,-1210.038333333333,40309.875
2020-12-14 22:00:00,-1230.936666666666,38994.75
2020-12-14 23:00:00,-1310.2466666666664,37291.49999999999
2020-12-15 08:00:00,-4496.738333333331,45363.375
2020-12-15 09:00:00,-10743.319999999996,49828.5
2020-12-15 10:00:00,-14355.828333333331,51193.12499999999
2020-12-15 11:00:00,-11669.624999999996,50691.375
2020-12-15 12:00:00,-12785.066666666662,50382.000000000015
2020-12-15 13:00:00,-12822.53333333333,50076.0
2020-12-15 14:00:00,-11973.291666666664,49633.875
2020-12-15 15:00:00,-14223.846666666665,48181.5
2020-12-15 16:00:00,-5200.523333333332,42360.75
2020-12-15 18:00:00,-1959.408333333332,43727.62499999999
2020-12-15 19:00:00,-1951.786666666666,44491.5
2020-12-15 20:00:00,-2092.8116666666656,43014.375
2020-12-16 06:00:00,-2554.609999999999,36362.24999999999
2020-12-16 08:00:00,-5184.514999999998,44222.625
2020-12-16 09:00:00,-12523.696666666663,48255.75
2020-12-16 10:00:00,-15473.393333333328,49549.5
2020-12-16 11:00:00,-13216.29166666666,49561.875
2020-12-16 12:00:00,-11699.561666666665,47386.125
2020-12-16 13:00:00,-12076.33833333333,47383.875
2020-12-16 14:00:00,-12981.528333333328,48029.62500000001
2020-12-16 15:00:00,-11702.264999999998,44863.875
2020-12-16 16:00:00,-3518.4533333333316,40905.0
2020-12-16 17:00:00,-11.734999999998422,41887.12499999999
2020-12-16 18:00:00,-1017.9766666666656,42878.25
2020-12-16 19:00:00,-1119.7933333333326,43222.5
2020-12-16 20:00:00,-1358.146666666666,42245.99999999999
2020-12-16 21:00:00,-1749.123333333333,40754.25
2020-12-17 08:00:00,-2507.1433333333316,44336.25
2020-12-17 09:00:00,-9264.259999999998,50535.0
2020-12-17 10:00:00,-11261.081666666665,52916.625
2020-12-17 11:00:00,-9571.65833333333,53764.875
2020-12-17 12:00:00,-10251.568333333329,52700.62500000001
2020-12-17 13:00:00,-10177.501666666663,51818.62499999999
2020-12-17 14:00:00,-9144.484999999997,50997.375
2020-12-17 15:00:00,-10059.384999999998,48585.375
2020-12-17 16:00:00,-3825.6083333333327,45298.12500000001
2020-12-17 17:00:00,-1430.6199999999985,45459.00000000001
2020-12-18 01:00:00,-70.22166666666601,40991.625
2020-12-18 04:00:00,-3381.773333333333,37566.0
2020-12-18 05:00:00,-3437.7716666666665,38158.875
2020-12-18 06:00:00,-2936.2299999999996,39471.75
2020-12-18 07:00:00,-3233.866666666666,43339.49999999999
2020-12-18 08:00:00,-6038.484999999998,49120.87499999999
2020-12-18 09:00:00,-12755.031666666664,53611.875000000015
2020-12-18 10:00:00,-16217.199999999995,54886.5
2020-12-18 11:00:00,-13011.278333333332,54160.874999999985
2020-12-18 12:00:00,-13312.598333333332,53571.375
2020-12-18 13:00:00,-13615.101666666662,53321.62499999999
2020-12-18 14:00:00,-13091.249999999996,52251.750000000015
2020-12-18 15:00:00,-14117.03333333333,49509.0
2020-12-18 16:00:00,-4050.2833333333315,43539.74999999999
2020-12-18 17:00:00,-868.0833333333322,43593.75
2020-12-18 18:00:00,-1018.3783333333331,44391.37499999999
2020-12-18 19:00:00,-957.7749999999987,45001.12499999999
2020-12-18 20:00:00,-902.829999999999,44304.74999999999
2020-12-18 21:00:00,-1401.7133333333331,42925.49999999999
2020-12-19 08:00:00,-6009.354999999998,43957.125
2020-12-19 09:00:00,-14178.693333333333,50418.0
2020-12-19 10:00:00,-18410.041666666664,53069.62499999999
2020-12-19 11:00:00,-14608.77333333333,52798.499999999985
2020-12-19 12:00:00,-14395.32666666666,52249.5
2020-12-19 13:00:00,-14884.39333333333,52191.0
2020-12-19 14:00:00,-14314.214999999993,51026.625000000015
2020-12-19 15:00:00,-14611.929999999998,47873.24999999999
2020-12-19 16:00:00,-5599.829999999998,43013.25
2020-12-19 17:00:00,-1977.1199999999988,44046.0
2020-12-19 18:00:00,-2360.2766666666657,46046.24999999999
2020-12-19 19:00:00,-2748.178333333333,47005.875
2020-12-19 20:00:00,-2893.576666666666,46829.25
2020-12-20 06:00:00,-2840.026666666666,36985.5
2020-12-20 08:00:00,-5781.318333333332,42658.87500000001
2020-12-20 09:00:00,-14279.239999999998,49716.00000000001
2020-12-20 10:00:00,-18754.311666666665,52630.875
2020-12-20 11:00:00,-15469.561666666661,52700.625
2020-12-20 12:00:00,-15163.77166666666,52851.37499999999
2020-12-20 13:00:00,-15485.813333333328,53550.000000000015
2020-12-20 14:00:00,-15010.529999999995,52593.749999999985
2020-12-20 15:00:00,-16248.484999999997,50943.375
2020-12-20 16:00:00,-6157.314999999999,45212.625
2020-12-20 17:00:00,-2748.949999999999,45965.25
2020-12-21 04:00:00,-2385.936666666666,31173.749999999996
2020-12-21 05:00:00,-1891.2316666666661,31993.875
2020-12-21 06:00:00,-1464.9449999999997,33532.875
2020-12-21 07:00:00,-1573.813333333333,35779.5
2020-12-21 08:00:00,-3742.281666666665,42134.62500000001
2020-12-21 09:00:00,-11595.69833333333,47977.875
2020-12-21 10:00:00,-16256.334999999995,49901.625
2020-12-21 11:00:00,-13390.691666666662,50065.875000000015
2020-12-21 12:00:00,-13764.023333333327,49065.750000000015
2020-12-21 13:00:00,-13985.389999999996,49767.750000000015
2020-12-21 14:00:00,-14172.273333333327,49657.500000000015
2020-12-21 15:00:00,-15754.176666666663,48179.25
2020-12-21 16:00:00,-6181.038333333331,43284.375
2020-12-21 17:00:00,-2237.1316666666653,44355.375
2020-12-21 18:00:00,-2316.651666666666,44508.37499999999
2020-12-21 19:00:00,-2298.3683333333324,45424.125
2020-12-21 20:00:00,-2698.115,45316.125
2020-12-21 21:00:00,-3345.529999999999,43940.25
2020-12-21 23:00:00,-179.30499999999887,40728.375
2020-12-22 01:00:00,-45.42666666666571,36594.0
2020-12-22 02:00:00,-390.3083333333327,35222.625
2020-12-22 03:00:00,-617.833333333333,34834.5
2020-12-22 04:00:00,-1047.5849999999996,35589.375
2020-12-22 05:00:00,-1328.863333333333,36956.24999999999
2020-12-22 06:00:00,-1144.4899999999989,39264.75
2020-12-22 07:00:00,-935.7783333333322,41619.375
2020-12-22 08:00:00,-6342.516666666665,46914.75
2020-12-22 09:00:00,-13227.34333333333,52364.25000000001
2020-12-22 10:00:00,-18167.43333333333,54873.0
2020-12-22 11:00:00,-14942.476666666662,53790.74999999999
2020-12-22 12:00:00,-15064.28333333333,53471.25
2020-12-22 13:00:00,-15296.993333333328,53820.0
2020-12-22 14:00:00,-14844.216666666664,53291.25
2020-12-22 15:00:00,-17102.764999999996,51465.375
2020-12-22 16:00:00,-8133.103333333332,47612.25
2020-12-22 17:00:00,-4184.949999999999,47652.75
2020-12-22 18:00:00,-872.2883333333326,48700.125
2020-12-22 19:00:00,-677.1833333333319,50564.25
2020-12-22 20:00:00,-416.438333333332,49773.375
2020-12-23 03:00:00,-2859.936666666666,33815.25
2020-12-23 05:00:00,-2859.088333333333,35200.125
2020-12-23 06:00:00,-2502.7649999999994,37132.875
2020-12-23 07:00:00,-2084.4816666666657,38872.12499999999
2020-12-23 08:00:00,-2029.3583333333322,43860.375
2020-12-23 09:00:00,-9891.313333333332,49491.0
2020-12-23 10:00:00,-15575.973333333332,52456.5
2020-12-23 11:00:00,-13655.406666666662,53158.5
2020-12-23 12:00:00,-13777.594999999994,52399.12499999999
2020-12-23 13:00:00,-13853.514999999996,52219.124999999985
2020-12-23 14:00:00,-13734.048333333329,51161.625
2020-12-23 15:00:00,-12862.258333333331,48004.87499999999
2020-12-23 16:00:00,-5399.153333333332,44563.5
2020-12-23 17:00:00,-3297.7566666666653,46226.24999999999
2020-12-23 19:00:00,-2009.8633333333323,46010.24999999999
2020-12-23 20:00:00,-2005.4349999999995,44870.62499999999
2020-12-23 21:00:00,-1963.5233333333322,42693.75
2020-12-23 22:00:00,-2036.9399999999991,41044.5
2020-12-24 08:00:00,-233.04999999999893,43134.75000000001
2020-12-24 09:00:00,-3915.3516666666646,46132.875
2020-12-24 10:00:00,-7589.561666666666,48538.12499999999
2020-12-24 11:00:00,-4296.154999999998,47354.625
2020-12-24 12:00:00,-4316.871666666663,46371.375
2020-12-24 13:00:00,-4375.128333333331,44762.625
2020-12-24 14:00:00,-4063.4183333333303,43882.87500000001
2020-12-24 15:00:00,-4934.808333333332,41878.125
2020-12-24 16:00:00,-1342.0616666666654,39974.62499999999
2020-12-24 19:00:00,-1439.746666666666,43416.0
2020-12-24 20:00:00,-1389.0099999999993,42086.24999999999
2020-12-24 21:00:00,-1431.0499999999993,41055.75
2020-12-25 04:00:00,-1498.5066666666662,32004.0
2020-12-25 08:00:00,-3898.1449999999977,40755.37500000001
2020-12-25 09:00:00,-10662.818333333329,45300.375
